"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"914700575022882821","914696490584612867","3499249578","2017-10-02 03:56:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","なお『細川両家記』をパク参考にしたっていう『続応仁後記』では「百万遍寺ニテ希雲ハ誅セラレニケリ、其三男芥川孫次郎長則、四男三好孫四郎長光モ安達カ宅ニテ自害セシメ、于時五月十一日、父子三人同日ニ滅亡ス、」とまた微妙な改変が加えられています。（甥の新五郎はどこへ…？）","","","",""
"914699586882691073","914692994896248833","3499249578","2017-10-02 03:52:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","父の之長を介錯した甥って何…伯父の之長を介錯した、の間違いです。","","","",""
"914696490584612867","914692994896248833","3499249578","2017-10-02 03:40:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ちなみに5月11日は之長が淡路守護の細川尚春を殺害したちょうど1年後の同日で、之長を父の仇とする細川彦四郎の訴えで処刑が決まったという話、『細川両家記』（群書類従本）では高国の判断と読める記述でしたが、『戦国 三好一族』ではなぜか之長父子の処刑は将軍義稙の判断ということに…。","","","",""
"914692994896248833","914638686708318208","3499249578","2017-10-02 03:26:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","そういうわけで雑にまとめると、永正17年5月11日に父の之長を介錯して立ったまま腹切った甥の新五郎はおっさん、翌日に父の死を聞かされ「死ぬなら一緒が良かった」と涙しつつ国元に手紙を送って腹を切った孫四郎・二郎の兄弟も、早離・即離の兄弟に喩えられてますが、やはりおっさんであったと。","","","",""
"914638686708318208","914638556206850049","3499249578","2017-10-01 23:50:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","そして『細川両家記』は之長の甥・新五郎のことも「三好新四郎」と微妙に違う名前を広めてくださったようで…。","","","",""
"914638556206850049","913615465594765313","3499249578","2017-10-01 23:49:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","天野先生によると、之長を介錯した甥（大音声で呼ばわり立ったまま切腹したという人）の名は新五郎長久、越後守長尚の子です。弟の遠江守長家がすでに年寄衆として当時の文書に名前が残されているそうで、当然新五郎もそれなりの年齢だったと思われます。下の弟が神五郎政長、後の三好宗三ですね。","","","",""
"913690768149143552","913616358658605056","1408924159","2017-09-29 09:03:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mtboxl 割と最近まで読まずにいたんですが、『細川両家記』では三好孫四郎は尼崎・長洲での合戦で香西与四郎と太刀を合わせて名を上げたとか、結構男らしいというか之長の息子らしい話も書いてましたね。それで僕もイメージが変わりました。","","","",""
"913615465594765313","913613589491048448","3499249578","2017-09-29 04:04:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","『細川両家記』の註で「三好孫四郎長則」「芥川次郎長光」と広まったのが誤りで、三好孫四郎長光の子が長逸、芥川二郎長則の子が孫十郎ではないかとのこと。ちなみに僕は今谷先生の『戦国 三好一族』を読んで勝手に兄弟を少年イメージで妄想していましたが、之長はもう60過ぎだし普通におっさん…？","","","",""
"913613589491048448","","","2017-09-29 03:57:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","三好之長の翌日に切腹したという2人の子息、諱と誰の父に当たるのかが分からなくなったんですが、天野先生の長慶本には三男「三好孫四郎長光」、四男「芥川二郎長則」とありました。三階菱に釘抜紋の肩衣姿で描かれた三好長光の画像摸本が残っていて、その賛から長光の子は長逸と読み取れるそうです。","","","",""
"913241543682621440","","","2017-09-28 03:18:45 +0000","<a href=""http://www.hatena.ne.jp/guide/twitter"" rel=""nofollow"">Hatena</a>","""細川晴国と細川氏綱は氏綱の方が3歳年上であったが、後継者問題に苦しむ細川高国の後継者候補としてそろって元服した仲間""氏綱と国慶の記事、旧高国党の動きが分かりやすい。元ネタは馬部先生の論文？ / “細川氏綱とは (ホソカワウジツ…” https://t.co/lvmIosvXgo","","","","http://htn.to/gC9RYCmEMv"
"913190923160379392","912524412926099456","3499249578","2017-09-27 23:57:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","何を気にしてるかっていうと、義維の下向の経緯や義稙との接触について根拠の確かな話が分からないままだと、実は義稙死後に遺臣たちが担ぎ出して養子ってことにしたんじゃね？って疑いが晴れないわけで…義稙が京都出奔後に出した御内書見る限り、旧澄元派を頼って高国に対抗したのは確かなようですが","","","",""
"912888366676373504","","","2017-09-27 03:55:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","育児で多忙のためあまり時間は取れないんですが、少しずつブログ記事を書き進めています。足利義稙のシリーズ、前編・中編と銘打っておきながら、後編では終わらなさそうです。三好之長の最期とか詳しいところは別記事にしてしまうか…。","","","",""
"912614393522745344","912538469385216000","1408924159","2017-09-26 09:46:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mtboxl ご教示ありがとうございます。","","","",""
"912524412926099456","912520007711571969","3499249578","2017-09-26 03:49:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","実際、義維の存在が京都で認知されたのって堺に上陸した大永7年以降だったりするんでしょうか？そもそも義稙の死も大永6年頃まで知られていなかったようですし…。（公卿補任には実隆本以外では義稙が大永6年まで「従二位、奨学淳和両院別当、氏長者」とあるそうで）","","","",""
"912520007711571969","912517505171693569","3499249578","2017-09-26 03:31:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","『平島公方史料集』にある阿波側の史料では概ね、義冬（義維）は永正6年京都生まれ京都育ち、義稙との不仲により天文初めに母とともに淡路志筑に下向という感じ。天文っていったらもう義稙の没後なので、全然あてにならない…。","","","",""
"912517505171693569","","","2017-09-26 03:21:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","今谷明先生の『戦国 三好一族』に「澄元が義維を播磨から阿波へ拉致」とあるんですが、これの根拠は何なのでしょうか…そもそも義維の初出史料は…『室町幕府将軍列伝』読んだら分かるのかな？","","","",""
"908532201871990784","","","2017-09-15 03:25:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ebisukosyo: 【イベント情報】榎原雅治・清水克行編『室町幕府将軍列伝』の刊行を記念いたしまして、本日19時より書店グランデ様で清水克行先生のトークショーを開催いたします。各将軍の個性を中心にお話しいただく予定です。お時間のある方はぜひお出で下さい。https:…","908522725064417280","497614281","2017-09-15 02:47:51 +0000","https://www.shosen.co.jp/event/59068/"
"908172893132955648","","","2017-09-14 03:37:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","秀吉のイメージの話、昔（30年くらい前）に読んだ本に「秀吉が兵糧攻めを得意としたのは血を見るのを嫌ったため」（だから秀吉は優しい？）みたいな事が書いてあって、当時ですらアホかって思ったんですが、さすがに今では歴オタじゃなくてもそんなことを言う人はいないと信じたい。","","","",""
"908166620165443585","","","2017-09-14 03:12:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @1059kanri: 歴オタの感想「豊臣秀吉かよ」

https://t.co/GKbNV0ZvYV","908165746118627329","116782011","2017-09-14 03:09:21 +0000","https://twitter.com/skull_bear/status/907618552873545728,https://twitter.com/skull_bear/status/907618552873545728"
"908166424916516865","","","2017-09-14 03:12:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ebisukosyo: 【新刊案内】榎原雅治・清水克行編『室町幕府将軍列伝』（四六判・並製・432頁。定価3,200円＋税）が刷り上がって参りました。書店様には21日より順次並び始める予定です。どうぞよろしくお願いいたします。https://t.co/F71RPYf8Jp","908160523409092608","497614281","2017-09-14 02:48:36 +0000","http://www.ebisukosyo.co.jp/products/detail.php?product_id=365,http://www.ebisukosyo.co.jp/products/detail.php?product_id=365"
"908117190397669376","","","2017-09-13 23:56:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @akaoni18akuemon: 「第一次黒井合戦」関連の資料を元に、時系列毎にまとめてみました。
https://t.co/YrL0JwAqpS
#黒井城 #赤井直正 #明智光秀 #荻野悪右衛門","908018400705646592","559468413","2017-09-13 17:23:51 +0000","http://blog.livedoor.jp/hideakinakagawa/archives/72204176.html,http://blog.livedoor.jp/hideakinakagawa/archives/72204176.html"
